,index,sps,depth,rs,of
0,0,49,229.1831180523293,4,1
1,1,97,458.3662361046586,8,1
2,2,194,916.7324722093172,16,1
3,3,388,1833.4649444186343,32,1
4,4,776,3666.9298888372687,64,1
5,5,49,57.29577951308232,4,4
6,6,97,114.59155902616465,8,4
7,7,194,229.1831180523293,16,4
8,8,388,458.3662361046586,32,4
9,9,776,916.7324722093172,64,4
10,10,49,14.32394487827058,4,16
11,11,97,28.64788975654116,8,16
12,12,194,57.29577951308232,16,16
13,13,388,114.59155902616465,32,16
14,14,776,229.1831180523293,64,16
15,15,49,3.580986219567645,4,64
16,16,97,7.16197243913529,8,64
17,17,194,14.32394487827058,16,64
18,18,388,28.64788975654116,32,64
19,19,776,57.29577951308232,64,64
20,20,49,0.8952465548919113,4,256
21,21,97,1.7904931097838226,8,256
22,22,194,3.580986219567645,16,256
23,23,388,7.16197243913529,32,256
24,24,776,14.32394487827058,64,256
25,25,49,0.22381163872297782,4,1024
26,26,97,0.44762327744595565,8,1024
27,27,194,0.8952465548919113,16,1024
28,28,388,1.7904931097838226,32,1024
29,29,776,3.580986219567645,64,1024
